Vardas                   Pavarde                    ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9      ND10      ND11      ND12      ND13      ND14      ND15      Egz.
Vardas5145           Pavarde5145                      8         7         4         3         4         2         1         3         9         3         4         3         1         4         6         3
Vardas5146           Pavarde5146                      6         7         6         6         8         2         2        10         7         9         2         8         1         9         7         3
Vardas5147           Pavarde5147                      8         3         8         9         7         9         9         5         4         1         9         3         5         6         5         7
Vardas5148           Pavarde5148                     10         8         2         2         9         9         3        10         1         7        10         8         4         8         8         3
Vardas5149           Pavarde5149                      4         6         8         9         9         9         6         6         8         1        10         7         5         5         8        10
Vardas5150           Pavarde5150                      1         8         7         2         9        10         9         7         2         7         8         4         2        10         6         4
Vardas5151           Pavarde5151                      6         2         7         8         3         2         8         8         5         4         4        10         5         7         7         5
Vardas5152           Pavarde5152                      5         4         9         6         6         9         4         3         7         1         5         7         9         5         5         4
Vardas5153           Pavarde5153                      2         1        10         1        10         9         6         5         2         7         2         6        10         4         4         5
Vardas5154           Pavarde5154                      2         7         5         5         3         3         2         1         6         3         1         6         1         1         8         4
Vardas5155           Pavarde5155                      4        10         4         1         5         4         8         5         1        10         6         2         6        10         9         1
Vardas5156           Pavarde5156                      1         6        10         6         7         5         1         8         3         2        10         6         8        10         9         4
Vardas5157           Pavarde5157                      1         6        10        10         5         3         6         3        10         7        10         2         8         9         6         7
Vardas5158           Pavarde5158                      5         4         3        10         6         6         6         9         3         8         7         7         1         2         3         4
Vardas5159           Pavarde5159                      5         6         6        10         8         3         7         8        10         1         8        10         5         6         4         4
Vardas5160           Pavarde5160                      3         9         1         2         6         8         9         7         6         6         5         9         9         7         5        10
Vardas5161           Pavarde5161                      2         9         3         6         1         7        10         7        10         2         9         1         5         7         9         3
Vardas5162           Pavarde5162                      7         9         3         3         6         9         7        10         1         1         5         4         1         4         3         8
Vardas5163           Pavarde5163                      5         9        10         6         4         7        10         1         2         1         1         9         1         5         7         2
Vardas5164           Pavarde5164                      4        10         2         7         4         7         1         2         8        10         1         7         3         1         2         7
Vardas5165           Pavarde5165                      8         8         1        10         5         7         3         6         1         3         2         3         5         4        10         2
Vardas5166           Pavarde5166                      7         9         2         1         1         5         9         4         9         5         3         1         2         8         7         7
Vardas5167           Pavarde5167                      2         4         5         5         2        10         3         9         5         8         4         3         3         5         5         7
Vardas5168           Pavarde5168                      3         2         7         5         4         2         3         2         5         5         2         7         3         1         8         3
Vardas5169           Pavarde5169                      8         5         2         2         5         7         1         6         8         3         2         2        10         3         3         5
Vardas5170           Pavarde5170                      8         6         5         1         5         9         7         5         3         1         8         4         2         3         3         3
Vardas5171           Pavarde5171                      9         9         5         4         6         6         8         1         3         6         2         1         2        10         9         8
Vardas5172           Pavarde5172                      2         1        10         3         5         9         7         3         6         6         7         8         4         9         7         4
Vardas5173           Pavarde5173                      6         8         6         2         2         5         9         4         2         5        10         3         9         9         2        10
Vardas5174           Pavarde5174                      9         2         5         5         3        10         4         2         1         3         3         4         9         8         2         3
Vardas5175           Pavarde5175                      7        10         2         8         7         1         5         7         3         5         6         3         2         9         5         6
Vardas5176           Pavarde5176                      5         7         2         5         6         2        10         6        10         3         5         1         9         8         6        10
Vardas5177           Pavarde5177                      5         5         7         1         3         6         3         3         9         9         4         5         6         2         6         1
Vardas5178           Pavarde5178                      7         7         1         3         2         5         1         2         6         5         2         2         8        10         3         5
Vardas5179           Pavarde5179                      8         5         6        10         3         8         1         9         3         7         6         1         8         8         2         4
Vardas5180           Pavarde5180                      5         2        10         7         4         2         5         1         3         7         3         5         9        10        10         7
Vardas5181           Pavarde5181                      1         3         9        10         4         8         7         6         3         3         8         4         5         9         4         3
Vardas5182           Pavarde5182                      8         1         5        10         7         5         8         2         8         9         5         1         9         3         1         8
Vardas5183           Pavarde5183                     10         9         3         4         9        10         9         8         5         6         5         1        10         5         8         8
Vardas5184           Pavarde5184                      4        10         1         9         5         2         2         4         4         6         3        10         7         8         2         3
Vardas5185           Pavarde5185                      9         5         7         1         5         1         7         8         2         5         2         3         6         1         1         8
Vardas5186           Pavarde5186                      7         1        10         3         6         6         3         9         8         9         7         9        10         8         8         8
Vardas5187           Pavarde5187                      6         8         8         1         2         3         8         4         8         7         8         5         8         9         6         2
Vardas5188           Pavarde5188                      3         6         6         9        10         1         9         7         4         9         9         5         9         9         7         5
Vardas5189           Pavarde5189                      6         1         2        10         3         9         8         8         5         1         6        10        10         9         2         3
Vardas5190           Pavarde5190                     10         1         6         3        10         3         3         2         8         5         4         9         2         3         8         5
Vardas5191           Pavarde5191                     10         7         8         1         2         6         1         5         7         7         7         4         5         3         4        10
Vardas5192           Pavarde5192                      6         3         9         4         9        10         5         4         5         6         5         5         7         4         1         4
Vardas5193           Pavarde5193                      4         9         9         8        10         2         9         4         2         9         7        10         7         4         8         9
Vardas5194           Pavarde5194                      5         8         4         2         6         5         8         6         5         6        10         2         1         2         3         7
Vardas5195           Pavarde5195                      1         9         1         3         5         7         8         2         4         7         9         6         9         4         4         5
Vardas5196           Pavarde5196                      6         1         3         5         1         2        10         9        10         3         7         6         2        10        10         5
Vardas5197           Pavarde5197                      4         5         3         6         2         5         2         6         6        10         2        10         7         9         5         3
Vardas5198           Pavarde5198                     10         5         8         5         6         4         8         2         4         8        10         2         2         2         9         9
Vardas5199           Pavarde5199                      1         1         6         2         2         7         4         8         6        10         7         2         4         5         2         7
Vardas5200           Pavarde5200                      8         6         1         1         1         7         3         3         4         3         3         6         4         1         6         5
Vardas5201           Pavarde5201                      5         2        10         3         5         8         3        10         6         6        10         4         5         6         7         8
Vardas5202           Pavarde5202                      5         1         3         8         9         7         9        10         9         8         9         1         4         3         9         6
Vardas5203           Pavarde5203                     10         1         6         6         2         7         3         9         4         1         6        10         3         6         9         1
Vardas5204           Pavarde5204                      1        10         1         7         2         1         3         9         4         9        10         6         8         6         6        10
Vardas5205           Pavarde5205                      1         6         7         9         4         5         5         9         2         1         7         9         9         7         4         1
Vardas5206           Pavarde5206                      4         7         7         8         9         8         2         9         7         1         8         1         7         9         5         6
Vardas5207           Pavarde5207                      2         3         6         5        10         9         4         6         4         7         6         4         4         9         5         1
Vardas5208           Pavarde5208                      1         5         3        10         9         4         1         1         2         2         3         4         4         4         9         8
Vardas5209           Pavarde5209                      6         5         5         6         1         1         2         3         2         4         7        10         7         1         1         5
Vardas5210           Pavarde5210                      2         7         9         2         1         7         1         1         2         5         6         7         4        10         8         2
Vardas5211           Pavarde5211                      6         1         5         7        10         5         7         5         7         3         5         5         2        10         2         7
Vardas5212           Pavarde5212                      9         7        10         5         8         3         8         5         1         4         3         3         1        10         9         5
Vardas5213           Pavarde5213                      6         1         7         3         5         4         2         6         1         3         9         2         6        10         2         8
Vardas5214           Pavarde5214                      7         4         6         2         9         1         7        10        10         2         8         5         4         5        10         9
Vardas5215           Pavarde5215                      5         1        10         3         2         4         8         5         4         7         7         7         3         7         6         4
Vardas5216           Pavarde5216                      1         5         5         4         1         2         5         8         6         2         8         4         8         9         1         3
Vardas5217           Pavarde5217                      8         1         7         7        10         1         7         4         2         5         7         5         7         8        10         7
Vardas5218           Pavarde5218                      6         3        10         9         9         1         8         8         1         9         2         3         3         8         7         4
Vardas5219           Pavarde5219                      7         6         6         5         1         9         7         8         4         6         1         9         1         7         9         1
Vardas5220           Pavarde5220                      3         5         1         6         6         3         5         2         9         1        10         5         3         2         6         5
Vardas5221           Pavarde5221                      1         4         9         8         6         2         2         1         8         1         1         7        10        10         5         2
Vardas5222           Pavarde5222                      9         9        10         3         4         3         2         4         4         2         1         1         8         7        10         2
Vardas5223           Pavarde5223                      2         3        10         2         8         4         9         5         8         4         8         2         1         3         9         3
Vardas5224           Pavarde5224                      9         3         9         9         6         6         5         4         6         8         5         2         3         3        10         4
Vardas5225           Pavarde5225                      4         8         8         6         7         6         1         9         4         4         7         4         6         4         7         6
Vardas5226           Pavarde5226                      9         9         5         4         3         4         5         1         8        10         3         6         7        10         4         1
Vardas5227           Pavarde5227                      5         7         6         8         6         4         9         7         8         2        10         7         6         1        10         1
Vardas5228           Pavarde5228                      1         6         9        10         1         9         7         4         8         1         7         8         7         5         3         8
Vardas5229           Pavarde5229                      7         2         9         1         4         8         7         8         1         9         1        10         4         1         8         7
Vardas5230           Pavarde5230                      4        10         8        10         7         2        10         4         2         1         6         4         8         1         8         9
Vardas5231           Pavarde5231                      8         3         3         6         6         9         5         7         9         8         6         3         5         2         4         5
Vardas5232           Pavarde5232                      7        10         9         1         7         8        10         2         3         8         5         7        10         8        10         2
Vardas5233           Pavarde5233                      6         5         9         3         2         6         4         7         2         6         7         4         2         7        10         7
Vardas5234           Pavarde5234                      2         7         6         8         7         2         6         3         1         1         5         8        10         3         4         9
Vardas5235           Pavarde5235                      1        10         9         6        10         9         9        10         9         7         9         1         4         2         2         3
Vardas5236           Pavarde5236                      8         7         4         1         4         7         7         6         5         6         3         4         7         5         3         7
Vardas5237           Pavarde5237                      2        10         6         9         8         2         2         2         9        10         6        10         7         9         2         6
Vardas5238           Pavarde5238                     10         3         2         3         3         2         6         1         6         4         9         8         8         8         1         3
Vardas5239           Pavarde5239                      5         5         4        10         8         5         6         3         3         5         6         5         5         3         7         7
Vardas5240           Pavarde5240                     10         7         2         7         2         6         3         2         9        10         4         6         3         7         2         2
Vardas5241           Pavarde5241                      2         8         5         6         3         5         7         1         2         5         5         5        10         4         5         4
Vardas5242           Pavarde5242                      9         3         1         3         9         3         5         3         9         3         5         7         6         3         9         2
Vardas5243           Pavarde5243                      9         3         5         6        10         2         1         4         4         8         8         4        10         7         1         8
Vardas5244           Pavarde5244                      6         1         7         7         6         1        10         5         2         8        10         8         2         1         9         2
Vardas5245           Pavarde5245                      9         3         1        10        10         6         1         2        10         1         3         2         4         4         8         1
Vardas5246           Pavarde5246                     10         8         6         3        10         4         9         5         2        10         2         2         4         1         7         1
Vardas5247           Pavarde5247                      3         7         6        10         5        10         8         8         2        10         3         5         9         5         5         2
Vardas5248           Pavarde5248                      5         8         7         4         8         9        10         1         6         1         2         1         4         3         7         4
Vardas5249           Pavarde5249                      5         2         2        10         8         4         3         1         7         4         8         3         5         2         4         8
Vardas5250           Pavarde5250                      4         3         1         3         3         8        10         8         5         2         8         6        10         7         9         1
Vardas5251           Pavarde5251                      2        10         4         8         2         4        10         9         7        10         1        10        10         8         7         4
Vardas5252           Pavarde5252                      1         3         4         1         6         9        10         6         1         5         7         2         5         5         1         1
Vardas5253           Pavarde5253                      8         3         7         9         5         1         9         9         4         4         7         8        10         6         7         3
Vardas5254           Pavarde5254                      2         3         5         3         6         4         2         8         1         2         1         3         1         1         2         5
Vardas5255           Pavarde5255                     10         6         4        10         3        10         5         9         6         4        10         7         8         2         8         6
Vardas5256           Pavarde5256                      3         9         4         3        10         2         6        10         9         9         4         2         6         2         3         9
Vardas5257           Pavarde5257                      2         5         1         3         5         4         7         1         1         8         2         3         2         7         8         4
Vardas5258           Pavarde5258                      2         2        10         5         6         3         3         3         8         4         5         6         5         4         6        10
Vardas5259           Pavarde5259                      5        10         7         5        10         6         6         1         5         3         4         2        10        10        10         1
Vardas5260           Pavarde5260                      4         8         4         4         9         2        10         6         3         9         9         7         7         8         4        10
Vardas5261           Pavarde5261                     10        10         8         1         9        10         8         6         6         6         3         1         8         1         4         7
Vardas5262           Pavarde5262                      5         7        10         8         4         8         1         7         1         1         4         8         4         3         3         3
Vardas5263           Pavarde5263                      2        10         3         1         4         7         6         5         9         1         2         2         9         9        10         2
Vardas5264           Pavarde5264                      3         3         7         9         5         9         6         6         6         8         1         4        10         9         8         7
Vardas5265           Pavarde5265                      8         7         1         9         6         7         5         7         7         9         8         4        10         1         9         2
Vardas5266           Pavarde5266                      1         6         1         9         5         2         4         3         1         4         7         4         5         7         4         1
Vardas5267           Pavarde5267                      5         4         1         4         2         6        10         3         6         2        10         9         5         6         4        10
Vardas5268           Pavarde5268                      5         4        10         1         8         2         8         5         8         8         3         3         5         6         4         4
Vardas5269           Pavarde5269                      3         3         6         8         9         3         5         2         9         5         8         4         2         4         1         9
Vardas5270           Pavarde5270                      3         4         2         9         3         5         2         6         6         9         8         7         2         8         3         5
Vardas5271           Pavarde5271                      5        10        10         2         4         5         9         2         4         6         5         8         3         8         7         5
Vardas5272           Pavarde5272                      1         2         7         4         2         1         5         4         7         6         7         7        10         7         3         4
Vardas5273           Pavarde5273                      6         7         8         2         9         3         2         6         2         3         3         8         6         6         3         8
Vardas5274           Pavarde5274                      9        10         7         3         1         8        10         2         4        10         5         8         9         7         3         4
Vardas5275           Pavarde5275                      1         1         8         5         3         8         6         1         2         2         9         6         3         5         6         4
Vardas5276           Pavarde5276                      2         6         5         7         7         6         8         6        10        10         3         4         1         5         7         1
Vardas5277           Pavarde5277                     10         7         9         3        10         5         4         7         7         8         3         9         7         8         6         2
Vardas5278           Pavarde5278                     10         2         5         8         5         4         8         4        10         3         2        10         9        10         5         3
Vardas5279           Pavarde5279                      8         8         9         4         3         7         9         6         7         2        10         6         7        10         7        10
Vardas5280           Pavarde5280                      3        10         9         6        10         3         9         4         6         8        10         7         5         3         6         2
Vardas5281           Pavarde5281                      5         5         2         6         7         4         2        10         4         8        10        10         1         5         2         3
Vardas5282           Pavarde5282                      8         7         4        10         8         3         4         8         7         3         9         9         1         7         3         3
Vardas5283           Pavarde5283                      8         6         5         7         8         3         6         5         9         6         7        10         1         5         1         5
Vardas5284           Pavarde5284                      9        10         9         1         3         1         4         3         4         8         1         4         2         1         3         8
Vardas5285           Pavarde5285                      2         8         2         5         8         8         9         2         1        10         1         6         7         5         2         5
Vardas5286           Pavarde5286                      2         1         5         4         6        10         3         7         7         3         8         4         1         6         7         8
Vardas5287           Pavarde5287                      3         6         7         4         6         1        10         7         3         6         7         8        10         4         9         3
Vardas5288           Pavarde5288                      8         9         8        10        10        10        10         4         1         6         9         2         1         8         4         5
Vardas5289           Pavarde5289                      9         9         3         9         2         5         4         6         6         1         1         1         6         4         3        10
Vardas5290           Pavarde5290                      7         1         4         5         3         2         1         5         4         7         8         2         3         1         6         7
Vardas5291           Pavarde5291                      2         3         3         4         5         9         5         2         2         2         9         5         3         6         5         3
Vardas5292           Pavarde5292                      4         2        10         7         5         7         8         4         3         6         7        10         3         1        10         5
Vardas5293           Pavarde5293                      8         7         9         8         1         5         6        10         2         3         2         7         7         4        10         8
Vardas5294           Pavarde5294                      3         7         1         2        10         9         9         7         9         9         8        10         9         1         6         9
Vardas5295           Pavarde5295                      9         1        10         2         9         2         5         8         8         2         7         3         8         6         2         3
Vardas5296           Pavarde5296                      2         6         3         3         5         7         1         5        10        10         7         2         3         5         6         4
Vardas5297           Pavarde5297                      1        10        10         1         9         6         6         8         6         9         1         8         1         7         5         7
Vardas5298           Pavarde5298                      7         8         2         2        10         9         1         5         1         6         9         6         6         8        10         7
Vardas5299           Pavarde5299                      9         8        10         5         6         6         5         9         6         7         4         9         6         9         6         6
Vardas5300           Pavarde5300                     10         6         9         3         4         3         1         6         3         7         1         2         8         1         7         2
Vardas5301           Pavarde5301                      5         1         9         1         4        10         7         9         4         4         8        10         4         1         9         5
